Function Name,link,lambda,xrange,zmin,zmax,markdown
Crowned Cross Function,/benchmarks/unconstrained/2-dimensions/46-crowned-cross-function,"f = lambda x: 0.0001 * (np.abs(np.exp(np.abs(100 - (np.sqrt(x[:,0]**2 + x[:,1]**2) / np.pi))) * np.sin(x[:,0]) * np.sin(x[:,1])) + 1) ** 0.1","[[-10, 10], [-10, 10]]","[(0, 0)]",[],"$The lambda function can be converted into the following LaTeX expression:

\[
f(\mathbf{x}) = 0.0001 \left( \left| \exp\left( \left| 100 - \frac{\sqrt{x_0^2 + x_1^2}}{\pi} \right| \right) \sin(x_0) \sin(x_1) \right| + 1 \right)^{0.1}
\]

where \(\mathbf{x}\) is a vector with components \(x_0\) and \(x_1\).$"
Cube Function,/benchmarks/unconstrained/2-dimensions/119-cube-function,"f = lambda x: 100*(x[:,1]-x[:,0]**3)**2 + (1-x[:,0])**2","[[-10, 10], [-10, 10]]","[(1, 1)]",[],$f(\mathbf{x}) = 100 \cdot (x_2 - x_1^3)^2 + (1 - x_1)^2$
Damavandi's Function,/benchmarks/unconstrained/2-dimensions/120-damavandi-s-function,"f = lambda x: (1 - (abs((np.sin(np.pi * (x[:,0] - 2)) * np.sin(np.pi * (x[:,1] - 2))) / (np.pi * np.pi * (x[:,0] - 2) * (x[:,1] - 2))))**5) * (2 + (x[:,0] - 7)**2 + 2 * (x[:,1] - 7)**2)","[[0, 14], [0, 14]]","[(2, 2)]",[],"$The lambda function can be converted into the following LaTeX expression:

\[
f(\mathbf{x}) = \left(1 - \left|\frac{\sin(\pi (x_1 - 2)) \cdot \sin(\pi (x_2 - 2))}{\pi^2 (x_1 - 2)(x_2 - 2)}\right|^5\right) \cdot \left(2 + (x_1 - 7)^2 + 2(x_2 - 7)^2\right)
\]

where \(\mathbf{x}\) is a vector with components \(x_1\) and \(x_2\), corresponding to the first and second elements of the input array \(x\) respectively.$"
Davis' Function,/benchmarks/unconstrained/2-dimensions/47-davis-function,"f = lambda x: ((x[:,0]**2 + x[:,1]**2)**0.25) * ((np.sin(50 * (3*x[:,0]**2 + x[:,1]**2)**0.1))**2 + 1)","[[-100, 100], [-100, 100]]","[(0, 0)]",[],"$The lambda function can be converted into the following mathematical expression in LaTeX syntax:

\[
f(\mathbf{x}) = \left( x_1^2 + x_2^2 \right)^{\frac{1}{4}} \left( \sin\left( 50 \left( 3x_1^2 + x_2^2 \right)^{\frac{1}{10}} \right)^2 + 1 \right)
\]

where $\mathbf{x}$ is a vector with components $x_1$ and $x_2$.$"
Dekker-Aarts' Function,/benchmarks/unconstrained/2-dimensions/53-dekker-aarts-function,"f = lambda x: 10**5 * x[:,0]**2 + x[:,1]**2 - (x[:,0]**2 + x[:,1]**2)**2 + 10**-5 * (x[:,0]**2 + x[:,1]**2)**4","[[-20, 20], [-20, 20]]","[(0, 15), (0, -15)]",[],$f(\mathbf{x}) = 10^5 x_0^2 + x_1^2 - (x_0^2 + x_1^2)^2 + 10^{-5} (x_0^2 + x_1^2)^4$
Downhill Step Function,/benchmarks/unconstrained/2-dimensions/114-downhill-step-function,"f = lambda x: np.floor(10 * (10 - np.exp(-x[:,0]**2 - 3*x[:,1]**2))) / 10","[[-10, 10], [-10, 10]]","[(0, 0)]",[],"$The lambda function can be expressed in LaTeX syntax as follows:

\[
f(\mathbf{x}) = \left\lfloor 10 \left(10 - e^{-x_1^2 - 3x_2^2}\right) \right\rfloor \div 10
\]

where $\mathbf{x} = (x_1, x_2)$ is a vector input to the function, $\lfloor \cdot \rfloor$ denotes the floor function, and $e$ is the base of the natural logarithm.$"
Drop-Wave Function,/benchmarks/unconstrained/2-dimensions/54-drop-wave-function,"f = lambda x: -(1 + np.cos(12 * np.sqrt(x[:, 0]**2 + x[:, 1]**2))) / (0.5 * (x[:, 0]**2 + x[:, 1]**2) + 2)","[[-5.12, 5.12], [-5.12, 5.12]]","[(0, 0)]",[],"$The lambda function can be converted into the following LaTeX expression:

\[
f(\mathbf{x}) = -\frac{1 + \cos\left(12 \sqrt{x_1^2 + x_2^2}\right)}{0.5 \left(x_1^2 + x_2^2\right) + 2}
\]

where \(\mathbf{x}\) is a vector with components \(x_1\) and \(x_2\), corresponding to the first and second elements of the input array \(x\), respectively.$"
Easom's Function,/benchmarks/unconstrained/2-dimensions/22-easom-s-function,"f = lambda x: -np.cos(x[:, 0]) * np.cos(x[:, 1]) * np.exp(-(x[:, 0] - np.pi)**2 - (x[:, 1] - np.pi)**2)","[[-10, 10], [-10, 10]]","[(pi, pi)]",[],$f(\mathbf{x}) = -\cos(x_1) \cos(x_2) e^{-(x_1 - \pi)^2 - (x_2 - \pi)^2}$
Egg Crate Function,/benchmarks/unconstrained/2-dimensions/122-egg-crate-function,"f = lambda x: x[:,0]**2 + x[:,1]**2 + 25*(np.sin(x[:,0])**2 + np.sin(x[:,1])**2)","[[-5, 5], [-5, 5]]","[(0, 0)]","[(-5, -5), (-5, 5), (5, -5), (5, 5)]",$f(\mathbf{x}) = x_1^2 + x_2^2 + 25(\sin^2(x_1) + \sin^2(x_2))$
El-Attar-Vidyasagar-Dutta's Function,/benchmarks/unconstrained/2-dimensions/121-el-attar-vidyasagar-dutta-s-function,"f = lambda x: (x[:,0]**2 + x[:,1] - 10)**2 + (x[:,0] + x[:,1]**2 - 7)**2 + (x[:,0]**2 + x[:,1]**3 - 1)**2","[[-500, 500], [-500, 500]]","[(3.4091868222, -2.1714330361)]",[],$f(\mathbf{x}) = (x_1^2 + x_2 - 10)^2 + (x_1 + x_2^2 - 7)^2 + (x_1^2 + x_2^3 - 1)^2$
Engvall's Function,/benchmarks/unconstrained/2-dimensions/116-engvall-s-function,"f = lambda x: x[:,0]**4 + x[:,1]**4 + 2*x[:,0]**2*x[:,1]**2 - 4*x[:,0] + 3","[[-2000, 2000], [-2000, 2000]]","[(1, 0)]",[],$f(\mathbf{x}) = x_1^4 + x_2^4 + 2x_1^2x_2^2 - 4x_1 + 3$
F26 Function,/benchmarks/unconstrained/2-dimensions/253-f26-function,"f = lambda x: 0.25*x[:,0]**4 - 0.5*x[:,0]**2 - 0.1*x[:,0] + 0.5*x[:,1]**2","[[-10, 10], [-10, 10]]","[(1.046680526600663, 0)]",[],$f(\mathbf{x}) = 0.25x_0^4 - 0.5x_0^2 - 0.1x_0 + 0.5x_1^2$
Freudenstein-Roth's Function,/benchmarks/unconstrained/2-dimensions/55-freudenstein-roth-s-function,"f = lambda x: ( (-13 + x[:,0] + ((5 - x[:,1]) * x[:,1] - 2) * x[:,1])**2 + (-29 + x[:,0] + ((x[:,1] + 1) * x[:,1] - 14) * x[:,1])**2 ).reshape(x.shape[0], 1)","[[-5, 5], [-5, 5]]","[(5, 4)]",[],"$The lambda function `f` can be converted into the following mathematical expression in LaTeX syntax:

```latex
f(\mathbf{x}) = \left( \left( -13 + x_0 + \left(5 - x_1\right) x_1 - 2 \right) x_1 \right)^2 + \left( \left( -29 + x_0 + \left(x_1 + 1\right) x_1 - 14 \right) x_1 \right)^2
```

Here, `x_0` and `x_1` represent the first and second elements of the vector `x` respectively.$"
Giunta's Function,/benchmarks/unconstrained/2-dimensions/154-giunta-s-function,"f = lambda x: 0.6 + (np.sin(1 - (16/15)*x[:,0])**2 + np.sin(1 - (16/15)*x[:,1])**2) - 0.02*(np.sin(4 - (64/15)*x[:,0]) + np.sin(4 - (64/15)*x[:,1])) - (np.sin(1 - (16/15)*x[:,0]) + np.sin(1 - (16/15)*x[:,1]))","[[-1, 1], [-1, 1]]","[(0.4673200277395354, 0.4673200169591304)]",[],"$The lambda function `f` can be represented in LaTeX syntax as follows:

```latex
f(\mathbf{x}) = 0.6 + \left( \sin\left(1 - \frac{16}{15}x_1\right)^2 + \sin\left(1 - \frac{16}{15}x_2\right)^2 \right) - 0.02 \left( \sin\left(4 - \frac{64}{15}x_1\right) + \sin\left(4 - \frac{64}{15}x_2\right) \right) - \left( \sin\left(1 - \frac{16}{15}x_1\right) + \sin\left(1 - \frac{16}{15}x_2\right) \right)
```

Where \( \mathbf{x} \) is a vector with components \( x_1 \) and \( x_2 \), corresponding to \( x[:,0] \) and \( x[:,1] \) in the lambda function, respectively.$"
Goldstein-Price's Function,/benchmarks/unconstrained/2-dimensions/14-goldstein-price-s-function,"f = lambda x: (1+((x[:,0]+x[:,1]+1)**2)*(19-14*x[:,0]+3*x[:,0]**2-14*x[:,1]+6*x[:,0]*x[:,1]+3*x[:,1]**2))*(30+((2*x[:,0]-3*x[:,1])**2)*(18-32*x[:,0]+12*x[:,0]**2+48*x[:,1]-36*x[:,0]*x[:,1]+27*x[:,1]**2))/(3*10**5)","[[-2, 2], [-2, 2]]","[(0, -1)]",[],"$The lambda function `f` can be converted into the following LaTeX expression:

```latex
f(\mathbf{x}) = \frac{\left(1 + \left((x_1 + x_2 + 1)^2\right) \left(19 - 14x_1 + 3x_1^2 - 14x_2 + 6x_1x_2 + 3x_2^2\right)\right) \left(30 + \left((2x_1 - 3x_2)^2\right) \left(18 - 32x_1 + 12x_1^2 + 48x_2 - 36x_1x_2 + 27x_2^2\right)\right)}{3 \times 10^5}
```

Where \( \mathbf{x} \) is a vector with components \( x_1 \) and \( x_2 \), corresponding to \( x[:,0] \) and \( x[:,1] \) in the original lambda function, respectively.$"
Gramacy-Lee's Function No.02,/benchmarks/unconstrained/2-dimensions/259-gramacy-lee-s-function-no-02,"f = lambda x: x[:, 0] * np.exp(-x[:, 0]**2 - x[:, 1]**2)","[[-1.5, 1.5], [-1.5, 1.5]]","[(-0.707106776321847, -3.324529260087811e-009)]","[(0.707106776321847, -3.324529260087811e-009)]",$f(\mathbf{x}) = x_1 e^{-(x_1^2 + x_2^2)}$
Gramacy-Lee's Function No.03,/benchmarks/unconstrained/2-dimensions/260-gramacy-lee-s-function-no-03,"f = lambda x: -np.exp(-(x[:,0]-1)**2) * np.exp(-(x[:,1]-1)**2) - np.exp(-0.8*(x[:,0]+1)**2) * np.exp(-0.8*(x[:,1]+1)**2) + 0.05 * np.sin(8*(x[:,0]+0.1)) * np.sin(8*(x[:,1]+0.1))","[[-1.5, 1.5], [-1.5, 1.5]]","[(-1.040825908416920, -1.040825908416920)]",[],"$The lambda function can be converted into the following mathematical expression in LaTeX syntax:

```latex
f(\mathbf{x}) = -\exp\left(-(x_1 - 1)^2\right) \exp\left(-(x_2 - 1)^2\right) - \exp\left(-0.8(x_1 + 1)^2\right) \exp\left(-0.8(x_2 + 1)^2\right) + 0.05 \sin(8(x_1 + 0.1)) \sin(8(x_2 + 0.1))
```

Here, $\mathbf{x}$ is a vector with components $x_1$ and $x_2$, corresponding to `x[:,0]` and `x[:,1]` in the original lambda function, respectively.$"
H1 Function,/benchmarks/unconstrained/2-dimensions/155-h1-filter,"f = lambda x: (np.sin(x[:,0]-x[:,1]/8)**2 + np.sin(x[:,1]+x[:,0]/8)**2) / (np.sqrt((x[:,0]-(36*np.pi/13))**2 + (x[:,1]-(28*np.pi/13))**2) + 1)","[[-25, 25], [-25, 25]]",[],"[(36*np.pi/13, 28*np.pi/13)]","$The lambda function can be converted into the following LaTeX expression:

\[
f(\mathbf{x}) = \frac{\sin^2\left(x_0 - \frac{x_1}{8}\right) + \sin^2\left(x_1 + \frac{x_0}{8}\right)}{\sqrt{\left(x_0 - \frac{36\pi}{13}\right)^2 + \left(x_1 - \frac{28\pi}{13}\right)^2} + 1}
\]

where \(\mathbf{x}\) is a vector with components \(x_0\) and \(x_1\).$"
Himmelblau's Function,/benchmarks/unconstrained/2-dimensions/56-himmelblau-s-function,"f = lambda x: ((x[:,0] + x[:,1]**2 - 7)**2) + ((x[:,0]**2 + x[:,1] - 11)**2)","[[-6, 6], [-6, 6]]","[(3, 2), (3.584428340330, -1.848126526964), (-3.779310253378, -3.283185991286), (-2.805118086953, 3.131312518250)]",[],"$The lambda function can be converted into the following mathematical expression in LaTeX syntax:

\[
f(\mathbf{x}) = \left( x_{1} + x_{2}^2 - 7 \right)^2 + \left( x_{1}^2 + x_{2} - 11 \right)^2
\]

where $\mathbf{x}$ is a vector with components $x_{1}$ and $x_{2}$, corresponding to `x[:,0]` and `x[:,1]` in the lambda function, respectively.$"
Holder-Table Function,/benchmarks/unconstrained/2-dimensions/57-holder-table-function,"f = lambda x: -np.abs(np.exp(np.abs(1 - (np.sqrt(x[:,0]**2 + x[:,1]**2) / np.pi))) * np.sin(x[:,0]) * np.cos(x[:,1]))","[[-10, 10], [-10, 10]]","[(9.664590028909654, 9.664590028909654), (-9.664590028909654, -9.664590028909654)]",[],"$The lambda function can be converted into the following LaTeX expression:

\[
f(\mathbf{x}) = -\left| e^{\left| 1 - \frac{\sqrt{x_0^2 + x_1^2}}{\pi} \right|} \sin(x_0) \cos(x_1) \right|
\]

where \(\mathbf{x}\) is a vector with components \(x_0\) and \(x_1\).$"
Hosaki's Function,/benchmarks/unconstrained/2-dimensions/58-hosaki-s-function,"f = lambda x: (1 - 8*x[:,0] + 7*x[:,0]**2 - (7/3)*x[:,0]**3 + (1/4)*x[:,0]**4) * (x[:,1]**2) * np.exp(-x[:,1])","[[0, 5], [0, 5]]","[(4, 2)]",[],"$The lambda function can be converted into the following LaTeX expression:

\[
f(\mathbf{x}) = \left(1 - 8x_1 + 7x_1^2 - \frac{7}{3}x_1^3 + \frac{1}{4}x_1^4\right) \cdot x_2^2 \cdot e^{-x_2}
\]

where \( \mathbf{x} \) is a vector with components \( x_1 \) and \( x_2 \), corresponding to \( x[:,0] \) and \( x[:,1] \) in the lambda function, respectively.$"
