Function Name,link,lambda,xrange,zmin,zmax,markdown,Select,kernel
Problem No.06 (Zilinskas-Shaltyanis' or Richard Brent's Function No.01),/benchmarks/unconstrained/1-dimension/40-problem-no-6-richard-brent-s-or-zilinskas-shaltyanis-function,f = lambda x: (x + np.sin(x)) * np.exp(-x**2),"[-10, 10]",[],[0.679578666600993],$f(x) = (x + \sin(x)) e^{-x^2}$,1,"0.00316**2 * RBF(length_scale=10) + WhiteKernel(noise_level=1e-05) + 0.458**2 * ExpSineSquared(length_scale=0.642, periodicity=2.19) ** 2"
Problem No.07 (Strongin-Zilinskas-Shaltyanis' or Timonov's Function No.02),/benchmarks/unconstrained/1-dimension/204-problem-no-7-strongin-zilinskas-shaltyanis-or-timonov-s-function-no-2,f = lambda x: -np.sin(x) - np.sin(10*x/3) - np.log(x) + 0.84*x - 3,"[3, 7.5]",[],[5.199778366858],$f(x) = -\sin(x) - \sin\left(\frac{10x}{3}\right) - \log(x) + 0.84x - 3$,1,"3.13**2 * RBF(length_scale=2.04) + WhiteKernel(noise_level=1e-05) + 87.5**2 * Matern(length_scale=1.52e+04, nu=1.5) ** 2 * ExpSineSquared(length_scale=248, periodicity=1.44) ** 2"
Problem No.09 (Timonov's Function No.03 or Zilinskas' Function No.01),/benchmarks/unconstrained/1-dimension/37-zilinskas-function-no-1,f = lambda x: -np.sin(x) - np.sin(2*x/3),"[3.1, 20.4]",[],[17.039198942112002],$f(x) = -\sin(x) - \sin\left(\frac{2x}{3}\right)$,1,"1.43**2 * RBF(length_scale=0.608) + WhiteKernel(noise_level=1e-05) + 48.1**2 * DotProduct(sigma_0=1.02e-05) * ExpSineSquared(length_scale=102, periodicity=1.36) ** 1.5"
Problem No.10 (Fichtenholz's Function No.01 or Himmelblau's Function No.02),/benchmarks/unconstrained/1-dimension/18-problem-no-10-fichtenholz-s-function-no-1-or-himmelblau-s-function-no-2,f = lambda x: x * np.sin(x),"[0, 10]","[-4.913180450455435, 4.913180450455435]",[7.978665706811959],$f(x) = x \sin(x)$,1,0.207**2 * RBF(length_scale=0.841) + WhiteKernel(noise_level=1e-05) + 11.6**2 * RBF(length_scale=0.841)
Problem No.11 (or Marsden-Weinstein's Function),/benchmarks/unconstrained/1-dimension/206-problem-no-11-or-marsden-weinstein-s-function,f = lambda x: -2*np.cos(x)-np.cos(2*x),"[-pi/2, 2*pi]",[],"[2.094395090000627, 4.188790191441036]",$f(x) = -2\cos(x) - \cos(2x)$,1,"0.00928**2 * RBF(length_scale=10) + WhiteKernel(noise_level=1e-05) + 191**2 * ExpSineSquared(length_scale=341, periodicity=1.38) + 0.0127**2 * ExpSineSquared(length_scale=1e+05, periodicity=0.776) ** 2 + 104**2 * ExpSineSquared(length_scale=134, periodicity=2.76) ** 3"
Problem No.12 (or Fichtenholz's Function No.02),/benchmarks/unconstrained/1-dimension/207-problem-no-12-or-fichtenholz-s-function-no-2,f = lambda x: -(np.sin(x))**3 - (np.cos(x))**3,"[0, 2*pi]",[],"[pi, 3*pi/2]",$f(x) = -\sin^3(x) - \cos^3(x)$,1,"2.16**2 * RBF(length_scale=1.36) + WhiteKernel(noise_level=1e-05) + 9.75**2 * ExpSineSquared(length_scale=54.8, periodicity=1.11)"
Problem No.13 (or Fichtenholz's Function No.03),/benchmarks/unconstrained/1-dimension/208-problem-no-13-or-fichtenholz-s-function-no-3,f = lambda x: x**(2/3) + (1-x**2)**(1/3),"[0.001, 0.99]",[],[1/sqrt(2)],$f(x) = x^{\frac{2}{3}} + \left(1 - x^2\right)^{\frac{1}{3}}$,1,1.04**2 * RBF(length_scale=3.58) + WhiteKernel(noise_level=1e-05) + 0.0424**2 * RBF(length_scale=0.433) * DotProduct(sigma_0=0.000135) ** 2
Problem No.14 (or Fichtenholz's Function No.04),/benchmarks/unconstrained/1-dimension/209-problem-no-14-or-fichtenholz-s-function-no-4,f = lambda x: np.exp(-x) * np.sin(2 * np.pi * x),"[0, 4]",[],[0.224880383897449],$f(x) = e^{-x} \sin(2 \pi x)$,1,0.0885**2 * RBF(length_scale=0.334) + WhiteKernel(noise_level=1e-05) + 0.162**2 * RBF(length_scale=0.351) * DotProduct(sigma_0=1) ** 3
Problem No.15 (or Fichtenholz's Function No.05),/benchmarks/unconstrained/1-dimension/210-problem-no-15-or-fichtenholz-s-function-no-5,f = lambda x: (-x**2 + 5*x - 6) / (x**2 + 1),"[-5, 5]",[],[2.414213560038049],"$\[
f(x) = \frac{-x^2 + 5x - 6}{x^2 + 1}
\]$",1,"0.41**2 * RBF(length_scale=0.694) + WhiteKernel(noise_level=1e-05) + 0.106**2 * DotProduct(sigma_0=2.67) ** 3 + 1.96**2 * ExpSineSquared(length_scale=1.11, periodicity=2.54) ** 2"
Problem No.17 (or Lévy's Function No.01),/benchmarks/unconstrained/1-dimension/213-problem-no-17-or-levy-s-function-no-1,f = lambda x: -x**6 + 15*x**4 - 27*x**2 - 250,"[-4, 4]",[-7],"[-3, 3]",$f(x) = -x^6 + 15x^4 - 27x^2 - 250$,1,0.00659**2 * RBF(length_scale=0.0991) + WhiteKernel(noise_level=1e-05) + 2.36**2 * RBF(length_scale=1.53) * DotProduct(sigma_0=1e+05)
Problem No.18 (or Timonov's Function No.04),/benchmarks/unconstrained/1-dimension/214-problem-no-18-or-timonov-s-function-no-4,"f = lambda x: np.where(x <= 3, -(x-2)**2, -2*np.log(x-2)-1)","[0, 6]",[],[2],"$f(x) = 
\begin{cases} 
-(x-2)^2 & \text{if } x \leq 3 \\
-2\log(x-2) - 1 & \text{if } x > 3 
\end{cases}$",1,0.36**2 * RBF(length_scale=0.498) + WhiteKernel(noise_level=1e-05) + 0.581**2 * DotProduct(sigma_0=1.21) ** 3
Problem No.19 (or Lévy-Gomez's Function),/benchmarks/unconstrained/1-dimension/215-problem-no-19-or-levy-gomez-s-function,f = lambda x: x - np.sin(3*x) + 1,"[0, 6.5]",[],[5.872865514594919],$f(x) = x - \sin(3x) + 1$,1,"0.00316**2 * RBF(length_scale=10) + WhiteKernel(noise_level=1e-05) + 0.00316**2 * RBF(length_scale=1e+05) ** 2 * DotProduct(sigma_0=292) ** 2 + 250**2 * RBF(length_scale=1e+05) ** 2 * ExpSineSquared(length_scale=605, periodicity=1.11) ** 2"
Problem No.N1-sen,/benchmarks/unconstrained/1-dimension/219-problem-no-n1-sen,f = lambda x: np.sin(5*np.pi*x)**6,"[0, 1]",[],"[0.1, 0.3, 0.5, 0.7, 0.9]",$f(x) = \sin^6(5\pi x)$,1,"0.00316**2 * RBF(length_scale=10) + WhiteKernel(noise_level=1e-05) + 0.949**2 * ExpSineSquared(length_scale=3.71, periodicity=0.69) ** 3"
Pseudoethane Function,/benchmarks/unconstrained/1-dimension/226-pseudoethane-function,f = lambda x: 588600/((3*1.54**2-4*1.54**2*np.cos(109.5*np.pi/180)-2*((np.sin(109.5*np.pi/180)**2)*np.cos(x-(2*np.pi/3))-np.cos(109.5*np.pi/180)**2)*1.54**2)**6) - 1079.1/((3*1.54**2-4*1.54**2*np.cos(109.5*np.pi/180)-2*((np.sin(109.5*np.pi/180)**2)*np.cos(x-(2*np.pi/3))-np.cos(109.5*np.pi/180)**2)*1.54**2)**3) + 600800/((3*1.54**2-4*1.54**2*np.cos(109.5*np.pi/180)-2*((np.sin(109.5*np.pi/180)**2)*np.cos(x)-np.cos(109.5*np.pi/180)**2)*1.54**2)**6) - 1071.5/((3*1.54**2-4*1.54**2*np.cos(109.5*np.pi/180)-2*((np.sin(109.5*np.pi/180)**2)*np.cos(x)-np.cos(109.5*np.pi/180)**2)*1.54**2)**3) + 481300/((3*1.54**2-4*1.54**2*np.cos(109.5*np.pi/180)-2*((np.sin(109.5*np.pi/180)**2)*np.cos(x+(2*np.pi/3))-np.cos(109.5*np.pi/180)**2)*1.54**2)**6) - 1064.6/((3*1.54**2-4*1.54**2*np.cos(109.5*np.pi/180)-2*((np.sin(109.5*np.pi/180)**2)*np.cos(x+(2*np.pi/3))-np.cos(109.5*np.pi/180)**2)*1.54**2)**3),"[0, 2*pi]",[3.201787176863421],[],"$```latex
f(x) = \frac{588600}{\left(3 \cdot 1.54^2 - 4 \cdot 1.54^2 \cdot \cos\left(\frac{109.5 \pi}{180}\right) - 2 \left(\sin^2\left(\frac{109.5 \pi}{180}\right) \cdot \cos\left(x - \frac{2 \pi}{3}\right) - \cos^2\left(\frac{109.5 \pi}{180}\right)\right) \cdot 1.54^2\right)^6} - \frac{1079.1}{\left(3 \cdot 1.54^2 - 4 \cdot 1.54^2 \cdot \cos\left(\frac{109.5 \pi}{180}\right) - 2 \left(\sin^2\left(\frac{109.5 \pi}{180}\right) \cdot \cos\left(x - \frac{2 \pi}{3}\right) - \cos^2\left(\frac{109.5 \pi}{180}\right)\right) \cdot 1.54^2\right)^3} + \frac{600800}{\left(3 \cdot 1.54^2 - 4 \cdot 1.54^2 \cdot \cos\left(\frac{109.5 \pi}{180}\right) - 2 \left(\sin^2\left(\frac{109.5 \pi}{180}\right) \cdot \cos(x) - \cos^2\left(\frac{109.5 \pi}{180}\right)\right) \cdot 1.54^2\right)^6} - \frac{1071.5}{\left(3 \cdot 1.54^2 - 4 \cdot 1.54^2 \cdot \cos\left(\frac{109.5 \pi}{180}\right) - 2 \left(\sin^2\left(\frac{109.5 \pi}{180}\right) \cdot \cos(x) - \cos^2\left(\frac{109.5 \pi}{180}\right)\right) \cdot 1.54^2\right)^3} + \frac{481300}{\left(3 \cdot 1.54^2 - 4 \cdot 1.54^2 \cdot \cos\left(\frac{109.5 \pi}{180}\right) - 2 \left(\sin^2\left(\frac{109.5 \pi}{180}\right) \cdot \cos\left(x + \frac{2 \pi}{3}\right) - \cos^2\left(\frac{109.5 \pi}{180}\right)\right) \cdot 1.54^2\right)^6} - \frac{1064.6}{\left(3 \cdot 1.54^2 - 4 \cdot 1.54^2 \cdot \cos\left(\frac{109.5 \pi}{180}\right) - 2 \left(\sin^2\left(\frac{109.5 \pi}{180}\right) \cdot \cos\left(x + \frac{2 \pi}{3}\right) - \cos^2\left(\frac{109.5 \pi}{180}\right)\right) \cdot 1.54^2\right)^3}
```$",1,"0.79**2 * RBF(length_scale=0.662) + WhiteKernel(noise_level=1e-05) + 4.03**2 * ExpSineSquared(length_scale=5.91, periodicity=1.08) ** 1.5"
Strongin's Function,/benchmarks/unconstrained/1-dimension/33-strongin-s-function,f = lambda x: 2 - np.cos(x) - np.cos(2*x),"[-1.5, 4.5]",[0],[],$f(x) = 2 - \cos(x) - \cos(2x)$,1,"0.00316**2 * RBF(length_scale=10) + WhiteKernel(noise_level=1e-05) + 30.4**2 * ExpSineSquared(length_scale=11.3, periodicity=3.61) ** 3"
